name,svg,lottie
Thumbs-up-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fd/lottie.json
Thumbs-up-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3fe/lottie.json
Thumbs-up-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44d_1f3ff/lottie.json
Thumbs-down.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e/lottie.json
Thumbs-down-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fb/lottie.json
Thumbs-down-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fc/lottie.json
Thumbs-down-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fd/lottie.json
Thumbs-down-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3fe/lottie.json
Thumbs-down-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44e_1f3ff/lottie.json
Raising-hands.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c/lottie.json
Raising-hands-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fb/lottie.json
Raising-hands-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fc/lottie.json
Raising-hands-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fd/lottie.json
Raising-hands-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3fe/lottie.json
Raising-hands-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64c_1f3ff/lottie.json
Wave.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b/lottie.json
Wave-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fb/lottie.json
Wave-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fc/lottie.json
Wave-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fd/lottie.json
Wave-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3fe/lottie.json
Wave-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f44b_1f3ff/lottie.json
Victory.json,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_fe0f/lottie.json
Victory-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fb/lottie.json
Victory-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fc/lottie.json
